first_author,title,journal,pub_date,doi,pmid,pmcid,cites,pub_type,source,added,scopus_eid
Shim JE,GWAB: a web server for the network-based boosting of human genome-wide association data.,Nucleic Acids Res,2017-07-03,10.1093/nar/gkx284,28449091,PMC5793838,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Beck T,GWAS Central: a comprehensive resource for the discovery and comparison of genotype and phenotype data from genome-wide association studies.,Nucleic Acids Res,2020-01-08,10.1093/nar/gkz895,31612961,PMC7145571,2019_NAR_Schriml|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Li MJ,GWASdb v2: an update database for human genetic variants identified by genome-wide association studies.,Nucleic Acids Res,2016-01-04,10.1093/nar/gkv1317,26615194,PMC4702921,2015_NAR_Kibbe|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Li MJ,GWASdb: a database for human genetic variants identified by genome-wide association studies.,Nucleic Acids Res,2012-01-01,10.1093/nar/gkr1182,22139925,PMC3245026,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Maiella S,Harmonising phenomics information for a better interoperability in the rare disease field,European Journal of Medical Genetics,2018-11-01,10.1016/j.ejmg.2018.01.013,29425702,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85042374300
Wang WJ,HDncRNA: a comprehensive database of non-coding RNAs associated with heart diseases.,Database (Oxford),2018-01-01,10.1093/database/bay067,30053237,PMC6059085,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Luciano JS,Health web science,Foundations and Trends in Web Science,2014-01-01,10.1561/1800000019,NA,NA,2009_BMCG_Osborne,Journal|Article,scopus,2022-03-17T18:48:46Z,2-s2.0-84907998189
Notaro M,HEMDAG: A family of modular and scalable hierarchical ensemble methods to improve Gene Ontology term prediction,Bioinformatics,2021-01-01,10.1093/bioinformatics/btab485,NA,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85121036664
Fang S,HERB: a high-throughput experiment- and reference-guided database of traditional Chinese medicine.,Nucleic Acids Res,2021-01-08,10.1093/nar/gkaa1063,33264402,PMC7779036,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Himmelstein DS,Heterogeneous Network Edge Prediction: A Data Integration Approach to Prioritize Disease-Associated Genes.,PLoS Comput Biol,2015-07-09,10.1371/journal.pcbi.1004259,26158728,PMC4497619,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Yang K,Heterogeneous network embedding for identifying symptom candidate genes.,J Am Med Inform Assoc,2018-11-01,10.1093/jamia/ocy117,30357378,PMC7646926,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Yang K,Heterogeneous network propagation for herb target identification.,BMC Med Inform Decis Mak,2018-03-22,10.1186/s12911-018-0592-z,29589568,PMC5872392,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Wu J,HFIP: an integrated multi-omics data and knowledge platform for the precision medicine of heart failure.,Database (Oxford),2021-11-13,10.1093/database/baab076,34791105,PMC8607296,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Le DH,HGPEC: a Cytoscape app for prediction of novel disease-gene and disease-disease associations and evidence collection based on a random walk on heterogeneous network.,BMC Syst Biol,2017-06-15,10.1186/s12918-017-0437-x,28619054,PMC5472867,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yang MQ,High-throughput next-generation sequencing technologies foster new cutting-edge computing techniques in bioinformatics.,BMC Genomics,2009-07-07,10.1186/1471-2164-10-S1-I1,19594867,PMC2709251,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lombard DB,High-throughput small molecule screening reveals Nrf2-dependent and -independent pathways of cellular stress resistance.,Sci Adv,2020-10-02,10.1126/sciadv.aaz7628,33008901,PMC7852388,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Liu Y,HisgAtlas 1.0: a human immunosuppression gene database.,Database (Oxford),2017-01-01,10.1093/database/bax094,31725860,PMC7243927,2015_NAR_Kibbe,Journal Article,pubmed,2022-03-17T18:47:32Z,NA
Li H,HITSZ_CDR: an end-to-end chemical and disease relation extraction system for BioCreative V.,Database (Oxford),2016-06-05,10.1093/database/baw077,27270713,PMC4911788,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhang Y,"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated",Information Processing and Management,2020-11-01,10.1016/j.ipm.2020.102324,NA,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85086676453
Huang Z,HMDD v3.0: a database for experimentally supported human microRNA-disease associations.,Nucleic Acids Res,2019-01-08,10.1093/nar/gky1010,30364956,PMC6323994,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhang F,HOMER: a human organ-specific molecular electronic repository.,BMC Bioinformatics,2011-10-18,10.1186/1471-2105-12-S10-S4,22165817,PMC3236847,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shavit Y,How computer science can help in understanding the 3D genome architecture,Briefings in Bioinformatics,2016-09-01,10.1093/bib/bbv085,26433013,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-84995768460
Ghassemi MM,How is the Doctor Feeling? ICU Provider Sentiment is Associated with Diagnostic Imaging Utilization,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2018-10-26,10.1109/EMBC.2018.8513325,30441248,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85056630829
Haendel M,How many rare diseases are there?,Nat Rev Drug Discov,2020-02-01,10.1038/d41573-019-00180-y,32020066,PMC7771654,NA,News,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Geller J,How Sustainable are Biomedical Ontologies?,AMIA Annu Symp Proc,2018-12-05,NA,30815087,PMC6371329,2012_NAR_Schriml,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lagunes-García G,How Wikipedia disease information evolve over time? An analysis of disease-based articles changes,Information Processing and Management,2020-05-01,10.1016/j.ipm.2020.102225,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85079669690
Doğan T,HPO2GO: prediction of human phenotype ontology term associations for proteins using cross ontology annotation co-occurrences.,PeerJ,2018-08-02,10.7717/peerj.5298,30083448,PMC6076985,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shen F,HPO2Vec+: Leveraging heterogeneous knowledge resources to enrich node embeddings for the Human Phenotype Ontology.,J Biomed Inform,2019-08-01,10.1016/j.jbi.2019.103246,31255713,PMC6710011,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Deng Y,HPOSim: an R package for phenotypic similarity measure and enrichment analysis based on the human phenotype ontology.,PLoS One,2015-02-09,10.1371/journal.pone.0115692,25664462,PMC4321842,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Schriml LM,"Human Disease Ontology 2018 update: classification, content and workflow expansion.",Nucleic Acids Res,2019-01-08,10.1093/nar/gky1032,30407550,PMC6323977,2018_DMM_Bello|2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Cheng Y,Human disease-protein network,Current Proteomics,2018-04-01,10.2174/1570164614666171031154904,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85045992591
Ahmed Z,Human gene and disease associations for clinical-genomics and precision medicine research.,Clin Transl Med,2020-01-01,10.1002/ctm2.28,32508008,PMC7240856,2015_NAR_Kibbe,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Brookes AJ,"Human genotype-phenotype databases: aims, challenges and opportunities.",Nat Rev Genet,2015-12-01,10.1038/nrg3932,26553330,NA,2015_NAR_Kibbe,Journal Article|Review,pubmed; scopus,2022-03-17T18:47:32Z,NA
Pan Y,Human germline and pan-cancer variomes and their distinct functional profiles.,Nucleic Acids Res,2014-10-01,10.1093/nar/gku772,25232094,PMC4191387,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yu L,Human pathway-based disease network,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2019-07-01,10.1109/TCBB.2017.2774802,29990107,NA,2009_BMCG_Osborne|2009_BIX_Du,Journal|Article,scopus,2022-03-17T18:48:46Z,2-s2.0-85035760088
Kasmanas JC,HumanMetagenomeDB: a public repository of curated and standardized metadata for human metagenomes.,Nucleic Acids Res,2021-01-08,10.1093/nar/gkaa1031,33221926,PMC7778935,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Kumar R,HumCFS: a database of fragile sites in human chromosomes.,BMC Genomics,2019-04-18,10.1186/s12864-018-5330-5,30999860,PMC7402404,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Gündel M,HuPSON: the human physiology simulation ontology.,J Biomed Semantics,2013-11-22,10.1186/2041-1480-4-35,24267822,PMC4177144,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Martin RL,Hybrid natural language processing for high-performance patent and literature mining in IBM Watson for Drug Discovery,IBM Journal of Research and Development,2018-11-01,10.1147/JRD.2018.2888975,NA,NA,2018_DMM_Bello,Journal|Article,scopus,2022-03-17T18:47:46Z,2-s2.0-85062594821
Barros M,Hybrid semantic recommender system for chemical compounds,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020-01-01,10.1007/978-3-030-45442-5_12,NA,NA,2019_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:41Z,2-s2.0-85084193067
Barros M,Hybrid semantic recommender system for chemical compounds in large-scale datasets.,J Cheminform,2021-02-23,10.1186/s13321-021-00495-2,33622374,PMC7903631,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Thompson P,"HYPHEN: A flexible, hybrid method to map phenotype concept mentions to terminological resources",Terminology,2018-01-01,10.1075/term.00015.tho,NA,NA,2012_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:48:19Z,2-s2.0-85047971110
Yang N,Hypoxia regulates GR function through multiple mechanisms involving microRNAs 103 and 107.,Mol Cell Endocrinol,2020-12-01,10.1016/j.mce.2020.111007,32871225,PMC7646191,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Nentidis A,IASiS open data graph: Automated semantic integration of disease-specific knowledge,Proceedings - IEEE Symposium on Computer-Based Medical Systems,2020-07-01,10.1109/CBMS49503.2020.00049,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85091155480
Wan L,ICDO: Ontological representation of the International Classification of Diseases (ICD) and its application in English and Chinese healthy data standardization,CEUR Workshop Proceedings,2019-01-01,NA,NA,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85113710493
Wei H,iCircDA-MF: Identification of circRNA-disease associations based on matrix factorization,Briefings in Bioinformatics,2019-07-10,10.1093/bib/bbz057,31197324,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85088276475
Baranzini SE,iCTNet2: Integrating heterogeneous biological interactions to understand complex traits,F1000Research,2015-01-01,10.12688/f1000research.6836.2,NA,NA,2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-84969677266
Carson MB,Identification of cancer-related genes and motifs in the human gene regulatory network.,IET Syst Biol,2015-08-01,10.1049/iet-syb.2014.0058,26243828,PMC8687282,2009_BIX_Du,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Ko Y,Identification of disease comorbidity through hidden molecular mechanisms.,Sci Rep,2016-12-19,10.1038/srep39433,27991583,PMC5172201,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Ruiz C,Identification of disease treatment mechanisms through the multiscale interactome.,Nat Commun,2021-03-19,10.1038/s41467-021-21770-8,33741907,PMC7979814,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Li Z,Identification of Drug-Disease Associations Using Information of Molecular Structures and Clinical Symptoms via Deep Convolutional Neural Network.,Front Chem,2020-01-10,10.3389/fchem.2019.00924,31998700,PMC6966717,2018_DMM_Bello,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Pfisterer U,Identification of epilepsy-associated neuronal subtypes and gene expression underlying epileptogenesis.,Nat Commun,2020-10-07,10.1038/s41467-020-18752-7,33028830,PMC7541486,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Vita R,Identification of errors in the IEDB using ontologies.,Database (Oxford),2018-01-01,10.1093/database/bay005,29688357,PMC5824775,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Hua J,Identification of genes with altered roles in transcription network in alzheimer's disease,ACM International Conference Proceeding Series,2021-05-21,10.1145/3473258.3473273,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85121677312
Hu Y,Identification of key differentially expressed MicroRNAs in cancer patients through pan-cancer analysis.,Comput Biol Med,2018-12-01,10.1016/j.compbiomed.2018.10.021,30384176,PMC6279243,2015_NAR_Kibbe|2015_DB_Wu,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Chen F,Identification of miRNA profiling in prediction of tumor recurrence and progress and bioinformatics analysis for patients with primary esophageal cancer: Study based on TCGA database,Pathology Research and Practice,2018-12-01,10.1016/j.prp.2018.10.009,30477645,NA,2015_MG_Schriml|2015_NAR_Kibbe,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:47:49Z,2-s2.0-85055493883
Chen JH,Identification of MYH6 as the potential gene for human ischaemic cardiomyopathy.,J Cell Mol Med,2021-11-01,10.1111/jcmm.17015,34697898,PMC8581323,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Wang H,Identification of Novel Biomarkers Related to Lung Squamous Cell Carcinoma Using Integrated Bioinformatics Analysis.,Comput Math Methods Med,2021-10-08,10.1155/2021/9059116,34659450,PMC8519687,2018_DMM_Bello,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Giwa A,Identification of novel prognostic markers of survival time in high-risk neuroblastoma using gene expression profiles.,Oncotarget,2020-11-17,10.18632/oncotarget.27808,33245713,PMC7679032,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Huang H,Identification of polycystic ovary syndrome potential drug targets based on pathobiological similarity in the protein-protein interaction network.,Oncotarget,2016-06-21,10.18632/oncotarget.9353,27191267,PMC5122359,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhang J,Identification of potential crucial genes in atrial fibrillation: a bioinformatic analysis.,BMC Med Genomics,2020-07-18,10.1186/s12920-020-00754-5,32682418,PMC7368672,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Wu RY,Identification of potential therapeutic target genes in pediatric acute leukemia of ambiguous lineage based on bioinformatics analysis,Journal of Shanghai Jiaotong University (Medical Science),2021-03-28,10.3969/j.issn.1674-8115.2021.03.006,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85105339181
Gong C,"Identification of potential therapeutic target genes, key miRNAs and mechanisms in oral lichen planus by bioinformatics analysis",Archives of Oral Biology,2017-06-01,10.1016/j.archoralbio.2017.02.013,28237528,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85013633251
Chen F,Identification of prognostic miRNA biomarkers for predicting overall survival of colon adenocarcinoma and bioinformatics analysis: A study based on The Cancer Genome Atlas database,Journal of Cellular Biochemistry,2019-06-01,10.1002/jcb.28264,30536901,NA,2015_MG_Schriml|2015_NAR_Kibbe|2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:47:49Z,2-s2.0-85058162683
Li W,Identification of susceptible genes for complex chronic diseases based on disease risk functional SNPs and interaction networks,Journal of Biomedical Informatics,2017-10-01,10.1016/j.jbi.2017.09.006,28927989,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85029678941
Leone M,"Identification, semantic annotation and comparison of combinations of functional elements in multiple biological conditions",Bioinformatics,2022-03-01,10.1093/bioinformatics/btab815,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85125491511
Ye L,Identify Inflammatory Bowel Disease-Related Genes Based on Machine Learning.,Front Cell Dev Biol,2021-07-26,10.3389/fcell.2021.722410,34381790,PMC8352440,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Hoehndorf R,Identifying aberrant pathways through integrated analysis of knowledge in pharmacogenomics.,Bioinformatics,2012-08-15,10.1093/bioinformatics/bts350,22711793,PMC3493115,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhao T,Identifying Alzheimer's disease-related proteins by LRRGD.,BMC Bioinformatics,2019-11-25,10.1186/s12859-019-3124-7,31760934,PMC6876080,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Zhang W,Identifying Cancer genes by combining two-rounds RWR based on multiple biological data.,BMC Bioinformatics,2019-11-25,10.1186/s12859-019-3123-8,31760937,PMC6876101,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Liu Z,Identifying Cancer-Related lncRNAs Based on a Convolutional Neural Network.,Front Cell Dev Biol,2020-08-11,10.3389/fcell.2020.00637,32850792,PMC7432192,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Wang Y,Identifying Candidate Diseases-related Metabolites Based on Disease Similarity,"Proceedings - 2018 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2018",2019-01-21,10.1109/BIBM.2018.8621318,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85062574159
Xu H,Identifying diseases that cause psychological trauma and social avoidance by GCN-Xgboost.,BMC Bioinformatics,2020-12-16,10.1186/s12859-020-03847-1,33323103,PMC7739481,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Xu H,Identifying diseases that cause psychological trauma and social avoidance by Xgboost,"Proceedings - 2019 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2019",2019-11-01,10.1109/BIBM47256.2019.8983295,NA,NA,2018_DMM_Bello,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:46Z,2-s2.0-85084330778
Zhao L,Identifying diseases-related metabolites based on network,"Proceedings - 2017 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2017",2017-12-15,10.1109/BIBM.2017.8217915,NA,NA,2015_MG_Schriml|2009_BMCG_Osborne,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:49Z,2-s2.0-85045995529
Hu Y,Identifying diseases-related metabolites using random walk.,BMC Bioinformatics,2018-04-11,10.1186/s12859-018-2098-1,29671398,PMC5907145,2015_MG_Schriml|2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Sedaghat N,Identifying functional cancer-specific miRNA-mRNA interactions in testicular germ cell tumor.,J Theor Biol,2016-09-07,10.1016/j.jtbi.2016.05.026,27235586,PMC4947423,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Li H,Identifying gene function and module connections by the integration of multispecies expression compendia.,Genome Res,2019-12-01,10.1101/gr.251983.119,31754022,PMC6886503,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lau E,Identifying High-Priority Proteins Across the Human Diseasome Using Semantic Similarity.,J Proteome Res,2018-12-07,10.1021/acs.jproteome.8b00393,30256117,PMC6606054,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Jiang Y,Identifying highly conserved and highly differentiated gene ontology categories in human populations.,PLoS One,2011-01-01,10.1371/journal.pone.0027871,22140477,PMC3227580,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Jin B,Identifying informative subsets of the Gene Ontology with information bottleneck methods.,Bioinformatics,2010-10-01,10.1093/bioinformatics/btq449,20702400,PMC2944202,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lan W,Identifying interactions between long noncoding RNAs and diseases based on computational methods,Methods in Molecular Biology,2018-01-01,10.1007/978-1-4939-7717-8_12,29536445,NA,2012_NAR_Schriml,Book Series|Book Chapter,scopus,2022-03-17T18:48:19Z,2-s2.0-85044415750
Le TD,Identifying microRNA targets in epithelial-mesenchymal transition using joint-intervention causal inference,ACM International Conference Proceeding Series,2017-12-07,10.1145/3156346.3156353,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85040797877
Li J,Identifying scientific project-generated data citation from full-text articles: An investigation of TCGA data citation,Journal of Data and Information Science,2016-05-01,10.20309/jdis.201612,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85057577274
Kozaki K,Identity tracking of a disease as a causal chain,CEUR Workshop Proceedings,2012-12-01,NA,NA,NA,2009_BMCG_Osborne,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:46Z,2-s2.0-84892375005
Béré WRC,IDOMEN: An Extension of Infectious Disease Ontology for MENingitis.,Stud Health Technol Inform,2019-08-21,10.3233/SHTI190234,31437936,NA,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Kotlyar M,"IID 2018 update: context-specific physical protein-protein interactions in human, model organisms and domesticated species.",Nucleic Acids Res,2019-01-08,10.1093/nar/gky1037,30407591,PMC6323934,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yenala H,IIITH at BioASQ challange 2015 task 3b: Bio-medical question answering system,CEUR Workshop Proceedings,2015-01-01,NA,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-84982852188
Chen Q,ILDMSF: Inferring Associations between Long Non-Coding RNA and Disease Based on Multi-Similarity Fusion,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2021-05-01,10.1109/TCBB.2019.2936476,31443046,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85107482845
Wei H,ILncRNAdis-FB: Identify lncRNA-Disease Associations by Fusing Biological Feature Blocks through Deep Neural Network,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2021-01-01,10.1109/TCBB.2020.2964221,31905146,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85089590723
Bhattacharya S,"ImmPort, toward repurposing of open access immunological assay data for translational and clinical research.",Sci Data,2018-02-27,10.1038/sdata.2018.15,29485622,PMC5827693,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Fleri W,Immune Epitope Database and Analysis Resource,Encyclopedia of Immunobiology,2016-04-27,10.1016/B978-0-12-374279-7.06004-5,NA,NA,2012_NAR_Schriml,Book|Book Chapter,scopus,2022-03-17T18:48:19Z,2-s2.0-85018971219
Wong AK,"IMP 2.0: a multi-species functional genomics portal for integration, visualization and prediction of protein functions and networks.",Nucleic Acids Res,2015-07-01,10.1093/nar/gkv486,25969450,PMC4489318,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Gulzar N,Impact of nonsynonymous single-nucleotide variations on post-translational modification sites in human proteins,Methods in Molecular Biology,2017-01-01,10.1007/978-1-4939-6783-4_8,28150238,NA,2015_DB_Wu,Book Series|Book Chapter,scopus,2022-03-17T18:48:11Z,2-s2.0-85011554573
Yang YT,Impact of pyrrolidine-bispyrrole DNA minor groove binding agents and chirality on global proteomic profile in Escherichia Coli.,Proteome Sci,2013-05-23,10.1186/1477-5956-11-23,23702249,PMC3669006,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Glinsky GV,Impacts of genomic networks governed by human-specific regulatory sequences and genetic loci harboring fixed human-specific neuro-regulatory single nucleotide mutations on phenotypic traits of modern humans.,Chromosome Res,2020-12-01,10.1007/s10577-020-09639-w,32902713,PMC7480002,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Bai T,Implicit knowledge discovery in biomedical ontologies: Computing interesting relatednesses,"Proceedings - 2015 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2015",2015-12-16,10.1109/BIBM.2015.7359734,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-84962356017
Apolinario-Arzube O,Importance of International R&amp;D Collaboration Between Companies: The CollaborativeHealth Use Case,Communications in Computer and Information Science,2021-01-01,10.1007/978-3-030-88262-4_5,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85120502519
Mohanraj K,"IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics.",Sci Rep,2018-03-12,10.1038/s41598-018-22631-z,29531263,PMC5847565,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Slater LT,Improved characterisation of clinical text through ontology-based vocabulary expansion.,J Biomed Semantics,2021-04-12,10.1186/s13326-021-00241-5,33845909,PMC8042947,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lu C,Improving circRNA-disease association prediction by sequence and ontology representations with convolutional and recurrent neural networks,Bioinformatics,2020-12-15,10.1093/bioinformatics/btaa1077,NA,NA,2019_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:47:41Z,2-s2.0-85105026407
