ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
8890/0	Related	Plexiform leiomyoma	NA	NA	NA	NA	NA	NA	NA
8890/0	Related	Leiomyoma, apoplectic	NA	NA	NA	NA	NA	NA	NA
8890/0	Related	Leiomyoma, hydropic	NA	NA	NA	NA	NA	NA	NA
8890/0	Related	Myolipoma	NA	NA	NA	NA	NA	NA	NA
8890/0	Related	Cotyledonoid leiomyoma	NA	NA	NA	NA	NA	NA	NA
8890/0	Synonym	Dissecting leiomyoma	NA	NA	NA	NA	NA	NA	NA
8890/1	Preferred	Leiomyomatosis, NOS	NA	NA	NA	NA	NA	NA	NA
8890/1	Related	Leiomyomatosis, peritonealis disseminata	NA	NA	NA	NA	NA	NA	NA
8890/1	Related	Intravascular leiomyomatosis	NA	NA	NA	NA	NA	NA	NA
8890/1	Synonym	Intravenous leiomyomatosis	NA	NA	NA	NA	NA	NA	NA
8890/3	Preferred	Leiomyosarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
8891/0	Preferred	Epithelioid leiomyoma	NA	NA	NA	NA	NA	NA	NA
8891/0	Synonym	Leiomyoblastoma	NA	NA	NA	NA	NA	NA	NA
8891/3	Preferred	Epithelioid leiomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8892/0	Preferred	Cellular leiomyoma	NA	NA	NA	NA	NA	NA	NA
8893/0	Preferred	Bizarre leiomyoma	NA	NA	NA	NA	NA	NA	NA
8893/0	Synonym	Atypical leiomyoma	NA	NA	NA	NA	NA	NA	NA
8893/0	Synonym	Pleomorphic leiomyoma	NA	NA	NA	NA	NA	NA	NA
8893/0	Synonym	Symplastic leiomyoma	NA	NA	NA	NA	NA	NA	NA
8894/0	Preferred	Angioleiomyoma	NA	NA	NA	NA	NA	NA	NA
8894/0	Synonym	Angiomyoma	NA	NA	NA	NA	NA	NA	NA
8894/0	Synonym	Vascular leiomyoma	NA	NA	NA	NA	NA	NA	NA
8894/3	Preferred	Angiomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8895/0	Preferred	Myoma	NA	NA	NA	NA	NA	NA	NA
8895/3	Preferred	Myosarcoma	NA	NA	NA	NA	NA	NA	NA
8896/0	Preferred	Myxoid leiomyoma	NA	NA	NA	NA	NA	NA	NA
8896/3	Preferred	Myxoid leiomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8897/1	Preferred	Smooth muscle tumor of uncertain malignant potential	NA	NA	NA	NA	NA	NA	NA
8897/1	Synonym	Smooth muscle tumor, atypical	NA	NA	NA	NA	NA	NA	NA
8897/1	Related	Smooth muscle tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8897/1	Related	Leiomyosarcoma, cutaneous	(C44._)	NA	NA	NA	NA	NA	NA
8898/1	Preferred	Metastasizing leiomyoma	NA	NA	NA	NA	NA	NA	NA
8900/0	Preferred	Rhabdomyoma, NOS	NA	NA	NA	NA	NA	NA	NA
8900/3	Preferred	Rhabdomyosarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
8900/3	Synonym	Rhabdosarcoma	NA	NA	NA	NA	NA	NA	NA
8901/3	Preferred	Pleomorphic rhabdomyosarcoma, adult type	NA	NA	NA	NA	NA	NA	NA
8901/3	Related	Pleomorphic rhabdomyosarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
8901/3	Synonym	Rhabdomyosarcoma, pleomorphic type	NA	NA	NA	NA	NA	NA	NA
8902/3	Preferred	Mixed type rhabdomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8902/3	Related	Mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8903/0	Preferred	Fetal rhabdomyoma	NA	NA	NA	NA	NA	NA	NA
8904/0	Preferred	Adult cellular rhabdomyoma	NA	NA	NA	NA	NA	NA	NA
8904/0	Synonym	Adult rhabdomyoma	NA	NA	NA	NA	NA	NA	NA
8904/0	Related	Glycogenic rhabdomyoma	NA	NA	NA	NA	NA	NA	NA
8905/0	Preferred	Genital rhabdomyoma	(C51._, C52.9)	NA	NA	NA	NA	NA	NA
8910/3	Preferred	Embryonal rhabdomyosarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
8910/3	Synonym	Rhabdomyosarcoma, embryonal type	NA	NA	NA	NA	NA	NA	NA
8910/3	Related	Embryonal rhabdomyosarcoma, pleomorphic	NA	NA	NA	NA	NA	NA	NA
8910/3	Related	Sarcoma botryoides	NA	NA	NA	NA	NA	NA	NA
8910/3	Synonym	Botryoid sarcoma	NA	NA	NA	NA	NA	NA	NA
8912/3	Preferred	Spindle cell rhabdomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8912/3	Synonym	Sclerosing rhabdomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8912/3	Synonym	Rhabdomyosarcoma, spindle cell/sclerosing type	NA	NA	NA	NA	NA	NA	NA
8920/3	Preferred	Alveolar rhabdomyosarcoma	NA	NA	NA	NA	NA	NA	NA
8921/3	Preferred	Ectomesenchymoma	NA	NA	NA	NA	NA	NA	NA
8921/3	Synonym	Rhabdomyosarcoma with ganglionic differentiation	NA	NA	NA	NA	NA	NA	NA
893-899	2	Complex mixed and stromal neoplasms	NA	NA	NA	NA	NA	NA	NA
8930/0	Preferred	Endometrial stromal nodule	(C54.1)	NA	NA	NA	NA	NA	NA
8930/3	Preferred	Endometrial stromal sarcoma, NOS	(C54.1)	NA	NA	NA	NA	NA	NA
8930/3	Synonym	Endometrial sarcoma, NOS	(C54.1)	NA	NA	NA	NA	NA	NA
8930/3	Related	Endometrial stromal sarcoma, high grade	(C54.1)	NA	NA	NA	NA	NA	NA
8930/3	Synonym	Endometrioid stromal sarcoma, high grade	NA	NA	NA	NA	NA	NA	NA
8931/3	Preferred	Endometrial stromal sarcoma, low grade	(C54.1)	NA	NA	NA	NA	NA	NA
8931/3	Synonym	Endolymphatic stromal myosis	(C54.1)	NA	NA	NA	NA	NA	NA
8931/3	Synonym	Endometrioid stromal sarcoma, low grade	NA	NA	NA	NA	NA	NA	NA
8931/3	Synonym	Endometrial stromatosis	(C54.1)	NA	NA	NA	NA	NA	NA
8931/3	Synonym	Stromal endometriosis	(C54.1)	NA	NA	NA	NA	NA	NA
8931/3	Synonym	Stromal myosis, NOS	(C54.1)	NA	NA	NA	NA	NA	NA
8932/0	Preferred	Adenomyoma, NOS	NA	NA	NA	NA	NA	NA	NA
8932/0	Related	Atypical polypoid adenomyoma	NA	NA	NA	NA	NA	NA	NA
8933/3	Preferred	Adenosarcoma	NA	NA	NA	NA	NA	NA	NA
8934/3	Preferred	Carcinofibroma	NA	NA	NA	NA	NA	NA	NA
8935/0	Preferred	Stromal tumor, benign	NA	NA	NA	NA	NA	NA	NA
8935/1	Preferred	Stromal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8935/1	Related	Metanephric stromal tumor	(C64.9)	NA	NA	NA	NA	NA	NA
8935/1	Related	Stromal tumor of uncertain malignant potential	NA	NA	NA	NA	NA	NA	NA
8935/3	Preferred	Stromal sarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
8936/3	Preferred	Gastrointestinal stromal tumor	NA	NA	NA	NA	NA	NA	NA
8936/3	Synonym	GIST	NA	NA	NA	NA	NA	NA	NA
8936/3	Synonym	Gastrointestinal stromal sarcoma	NA	NA	NA	NA	NA	NA	NA
8936/3	Related	Gastrointestinal autonomic nerve tumor	NA	[obs]	NA	NA	NA	NA	NA
8936/3	Synonym	GANT	NA	[obs]	NA	NA	NA	NA	NA
8936/3	Related	Gastrointestinal pacemaker cell tumor	NA	[obs]	NA	NA	NA	NA	NA
8940/0	Preferred	Pleomorphic adenoma	NA	NA	NA	NA	NA	NA	NA
8940/0	Synonym	Mixed tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8940/0	Synonym	Mixed tumor, salivary gland type, NOS	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8940/0	Related	Chondroid syringoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8940/3	Preferred	Mixed tumor, malignant, NOS	NA	NA	NA	NA	NA	NA	NA
8940/3	Synonym	Mixed tumor, salivary gland type, malignant	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8940/3	Related	Malignant chondroid syringoma	(C44._)	NA	NA	NA	NA	NA	NA
8941/3	Preferred	Carcinoma ex pleomorphic adenoma	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8941/3	Synonym	Carcinoma in pleomorphic adenoma	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8950/3	Preferred	Mullerian mixed tumor	(C54._)	NA	NA	NA	NA	NA	NA
8951/3	Preferred	Mesodermal mixed tumor	NA	NA	NA	NA	NA	NA	NA
8959/0	Preferred	Benign cystic nephroma	(C64.9)	NA	NA	NA	NA	NA	NA
8959/0	Related	Mixed epithelial and stromal tumor	(C64.9)	NA	NA	NA	NA	NA	NA
8959/0	Related	Pediatric cystic nephroma	(C64.9)	NA	NA	NA	NA	NA	NA
8959/0	Related	Adult cystic nephroma	(C64.9)	NA	NA	NA	NA	NA	NA
8959/1	Preferred	Cystic partially differentiated nephroblastoma	(C64.9)	NA	NA	NA	NA	NA	NA
8959/3	Preferred	Malignant cystic nephroma	(C64.9)	NA	NA	NA	NA	NA	NA
8959/3	Synonym	Malignant multilocular cystic nephroma	(C64.9)	NA	NA	NA	NA	NA	NA
8960/1	Preferred	Mesoblastic nephroma	NA	NA	NA	NA	NA	NA	NA
8960/3	Preferred	Nephroblastoma, NOS	(C64.9)	NA	NA	NA	NA	NA	NA
8960/3	Synonym	Nephroma, NOS	(C64.9)	[obs]	NA	NA	NA	NA	NA
8960/3	Synonym	Wilms tumor	(C64.9)	NA	NA	NA	NA	NA	NA
8963/3	Preferred	Rhabdoid tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8963/3	Synonym	Malignant rhabdoid tumor	NA	NA	NA	NA	NA	NA	NA
8963/3	Synonym	Rhabdoid sarcoma	NA	NA	NA	NA	NA	NA	NA
8964/3	Preferred	Clear cell sarcoma of kidney	(C64.9)	NA	NA	NA	NA	NA	NA
8966/0	Preferred	Renomedullary interstitial cell tumor	(C64.9)	NA	NA	NA	NA	NA	NA
8966/0	Synonym	Renomedullary fibroma	(C64.9)	NA	NA	NA	NA	NA	NA
8966/0	Synonym	Medullary fibroma	(C64.9)	NA	NA	NA	NA	NA	NA
8967/0	Preferred	Ossifying renal tumor	(C64.9)	NA	NA	NA	NA	NA	NA
8970/3	Preferred	Hepatoblastoma, NOS	(C22.0)	NA	NA	NA	NA	NA	NA
8970/3	Synonym	Embryonal hepatoma	(C22.0)	NA	NA	NA	NA	NA	NA
8970/3	Related	Hepatoblastoma, epithelioid	(C22.0)	NA	NA	NA	NA	NA	NA
8970/3	Related	Hepatoblastoma, mixed epithelial-mesenchymal	(C22.0)	NA	NA	NA	NA	NA	NA
8971/3	Preferred	Pancreatoblastoma	(C25._)	NA	NA	NA	NA	NA	NA
8972/3	Preferred	Pulmonary blastoma	(C34._)	NA	NA	NA	NA	NA	NA
8972/3	Synonym	Pneumoblastoma	(C34._)	NA	NA	NA	NA	NA	NA
8973/3	Preferred	Pleuropulmonary blastoma	NA	NA	NA	NA	NA	NA	NA
8974/1	Preferred	Sialoblastoma	NA	NA	NA	NA	NA	NA	NA
8975/1	Preferred	Calcifying nested stromal-epithelial tumor	(C22.0)	NA	NA	NA	NA	NA	NA
8980/3	Preferred	Carcinosarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
8981/3	Preferred	Carcinosarcoma, embryonal	NA	NA	NA	NA	NA	NA	NA
8982/0	Preferred	Myoepithelioma, NOS	NA	NA	NA	NA	NA	NA	NA
8982/0	Synonym	Myoepithelial adenoma	NA	NA	NA	NA	NA	NA	NA
8982/0	Synonym	Myoepithelial tumor	NA	NA	NA	NA	NA	NA	NA
8982/0	Synonym	Ectomesenchymal chondromyxoid tumor	NA	NA	NA	NA	NA	NA	NA
8982/3	Preferred	Myoepithelial carcinoma	NA	NA	NA	NA	NA	NA	NA
8982/3	Synonym	Malignant myoepithelioma	NA	NA	NA	NA	NA	NA	NA
8982/3	Synonym	Myoepithelioma, infiltrating	NA	NA	NA	NA	NA	NA	NA
8983/0	Preferred	Adenomyoepithelioma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8983/0	Related	Adenomyoepithelioma, benign	(C50._)	NA	NA	NA	NA	NA	NA
8983/3	Preferred	Adenomyoepithelioma with carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8983/3	Synonym	Malignant adenomyoepithelioma	(C50._)	NA	NA	NA	NA	NA	NA
8990/0	Preferred	Mesenchymoma, benign	NA	NA	NA	NA	NA	NA	NA
8990/0	Related	Phosphaturic mesenchymal tumor, benign	NA	NA	NA	NA	NA	NA	NA
8990/0	Synonym	Phosphaturic mesenchymal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8990/1	Preferred	Mesenchymoma, NOS	NA	NA	NA	NA	NA	NA	NA
8990/1	Synonym	Mixed mesenchymal tumor	NA	NA	NA	NA	NA	NA	NA
8990/1	Related	Primitive non-neural granular cell tumor	NA	NA	NA	NA	NA	NA	NA
8990/3	Preferred	Mesenchymoma, malignant	NA	NA	NA	NA	NA	NA	NA
8990/3	Synonym	Mixed mesenchymal sarcoma	NA	NA	NA	NA	NA	NA	NA
8990/3	Related	Phosphaturic mesenchymal tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8991/3	Preferred	Embryonal sarcoma	NA	NA	NA	NA	NA	NA	NA
8992/0	Preferred	Pulmonary hamartoma	(C34._)	NA	NA	NA	NA	NA	NA
900-903	2	Fibroepithelial neoplasms	NA	NA	NA	NA	NA	NA	NA
9000/0	Preferred	Brenner tumor, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
9000/1	Preferred	Brenner tumor, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
9000/1	Synonym	Borderline Brenner tumor	(C56.9)	NA	NA	NA	NA	NA	NA
9000/1	Synonym	Brenner tumor, atypical proliferative	(C56.9)	NA	NA	NA	NA	NA	NA
9000/1	Synonym	Brenner tumor, proliferating	(C56.9)	NA	NA	NA	NA	NA	NA
9000/3	Preferred	Brenner tumor, malignant	(C56.9)	NA	NA	NA	NA	NA	NA
9010/0	Preferred	Fibroadenoma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
9010/0	Related	Lipofibroadenoma	NA	NA	NA	NA	NA	NA	NA
9011/0	Preferred	Intracanalicular fibroadenoma	(C50._)	NA	NA	NA	NA	NA	NA
9012/0	Preferred	Pericanalicular fibroadenoma	(C50._)	NA	NA	NA	NA	NA	NA
9013/0	Preferred	Adenofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9013/0	Related	Metanephric adenofibroma	(C64.9)	NA	NA	NA	NA	NA	NA
9013/0	Synonym	Nephrogenic adenofibroma	(C64.9)	NA	NA	NA	NA	NA	NA
9013/0	Related	Cystadenofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9013/0	Related	Papillary adenofibroma	NA	NA	NA	NA	NA	NA	NA
9014/0	Preferred	Serous adenofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9014/0	Related	Serous cystadenofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9014/0	Related	Seromucinous adenofibroma	NA	NA	NA	NA	NA	NA	NA
9014/1	Preferred	Serous adenofibroma of borderline malignancy	NA	NA	NA	NA	NA	NA	NA
9014/1	Related	Serous cystadenofibroma of borderline malignancy	NA	NA	NA	NA	NA	NA	NA
9014/3	Preferred	Serous adenocarcinofibroma	NA	NA	NA	NA	NA	NA	NA
9014/3	Synonym	Malignant serous adenofibroma	NA	NA	NA	NA	NA	NA	NA
9014/3	Related	Serous cystadenocarcinofibroma	NA	NA	NA	NA	NA	NA	NA
9014/3	Synonym	Malignant serous cystadenofibroma	NA	NA	NA	NA	NA	NA	NA
9015/0	Preferred	Mucinous adenofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9015/0	Related	Mucinous cystadenofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9015/1	Preferred	Mucinous adenofibroma of borderline malignancy	NA	NA	NA	NA	NA	NA	NA
9015/1	Related	Mucinous cystadenofibroma of borderline malignancy	NA	NA	NA	NA	NA	NA	NA
9015/3	Preferred	Mucinous adenocarcinofibroma	NA	NA	NA	NA	NA	NA	NA
9015/3	Synonym	Malignant mucinous adenofibroma	NA	NA	NA	NA	NA	NA	NA
9015/3	Related	Mucinous cystadenocarcinofibroma	NA	NA	NA	NA	NA	NA	NA
9015/3	Synonym	Malignant mucinous cystadenofibroma	NA	NA	NA	NA	NA	NA	NA
9016/0	Preferred	Giant fibroadenoma	(C50._)	NA	NA	NA	NA	NA	NA
9020/0	Preferred	Phyllodes tumor, benign	(C50._)	NA	NA	NA	NA	NA	NA
9020/0	Synonym	Cystosarcoma phyllodes, benign	(C50._)	[obs]	NA	NA	NA	NA	NA
9020/1	Preferred	Phyllodes tumor, borderline	(C50._)	NA	NA	NA	NA	NA	NA
9020/1	Synonym	Cystosarcoma phyllodes, NOS	(C50._)	NA	NA	NA	NA	NA	NA
9020/1	Synonym	Phyllodes tumor, NOS	(C50._)	NA	NA	NA	NA	NA	NA
9020/3	Preferred	Phyllodes tumor, malignant	(C50._)	NA	NA	NA	NA	NA	NA
9020/3	Synonym	Cystosarcoma phyllodes, malignant	(C50._)	[obs]	NA	NA	NA	NA	NA
9020/3	Related	Periductal stromal tumor, low grade	(C50._)	NA	NA	NA	NA	NA	NA
9030/0	Preferred	Juvenile fibroadenoma	(C50._)	NA	NA	NA	NA	NA	NA
904	2	Synovial-like neoplasms	NA	NA	NA	NA	NA	NA	NA
9040/0	Preferred	Synovioma, benign	NA	NA	NA	NA	NA	NA	NA
9040/3	Preferred	Synovial sarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
9040/3	Synonym	Synovioma, NOS	NA	NA	NA	NA	NA	NA	NA
9040/3	Synonym	Synovioma, malignant	NA	NA	NA	NA	NA	NA	NA
9041/3	Preferred	Synovial sarcoma, spindle cell	NA	NA	NA	NA	NA	NA	NA
9041/3	Synonym	Synovial sarcoma, monophasic fibrous	NA	NA	NA	NA	NA	NA	NA
9042/3	Preferred	Synovial sarcoma, epithelioid cell	NA	NA	NA	NA	NA	NA	NA
9043/3	Preferred	Synovial sarcoma, biphasic	NA	NA	NA	NA	NA	NA	NA
9044/3	Preferred	Clear cell sarcoma, NOS	NA	NA	NA	NA	NA	(except of kidney M-8964/3)	NA
9044/3	Related	Malignant melanoma of soft parts	(C49._)	NA	NA	NA	NA	NA	NA
9045/3	Preferred	Biphenotypic sinonasal sarcoma	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
905	2	Mesothelial neoplasms	NA	NA	NA	NA	NA	NA	NA
9050/0	Preferred	Mesothelioma, benign	NA	NA	NA	NA	NA	NA	NA
9050/3	Preferred	Mesothelioma, malignant	NA	NA	NA	NA	NA	NA	NA
9050/3	Synonym	Mesothelioma, NOS	NA	NA	NA	NA	NA	NA	NA
9051/0	Preferred	Fibrous mesothelioma, benign	NA	NA	NA	NA	NA	NA	NA
9051/3	Preferred	Fibrous mesothelioma, malignant	NA	NA	NA	NA	NA	NA	NA
9051/3	Synonym	Fibrous mesothelioma, NOS	NA	NA	NA	NA	NA	NA	NA
9051/3	Synonym	Desmoplastic mesothelioma	NA	NA	NA	NA	NA	NA	NA
9051/3	Synonym	Sarcomatoid mesothelioma	NA	NA	NA	NA	NA	NA	NA
9051/3	Synonym	Spindled mesothelioma	NA	NA	NA	NA	NA	NA	NA
9052/0	Preferred	Epithelioid mesothelioma, benign	NA	NA	NA	NA	NA	NA	NA
9052/0	Related	Well differentiated papillary mesothelioma	NA	NA	NA	NA	NA	(except of pleura M-9052/1)	NA
9052/0	Synonym	Mesothelial papilloma	NA	NA	NA	NA	NA	NA	NA
9052/1	Preferred	Well differentiated papillary mesothelioma of pleura	(C38.4)	NA	NA	NA	NA	NA	NA
9052/3	Preferred	Epithelioid mesothelioma, malignant	NA	NA	NA	NA	NA	NA	NA
9052/3	Synonym	Epithelioid mesothelioma, NOS	NA	NA	NA	NA	NA	NA	NA
9053/3	Preferred	Mesothelioma, biphasic, malignant	NA	NA	NA	NA	NA	NA	NA
9053/3	Synonym	Mesothelioma, biphasic, NOS	NA	NA	NA	NA	NA	NA	NA
9054/0	Preferred	Adenomatoid tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9055/0	Preferred	Peritoneal inclusion cysts	(C48._)	NA	NA	NA	NA	NA	NA
9055/0	Synonym	Cystic mesothelioma	(C48._)	NA	NA	NA	NA	NA	NA
9055/0	Synonym	Multicystic mesothelioma	(C48._)	NA	NA	NA	NA	NA	NA
906-909	2	Germ cell neoplasms	NA	NA	NA	NA	NA	NA	NA
9060/3	Preferred	Dysgerminoma	NA	NA	NA	NA	NA	NA	NA
9061/3	Preferred	Seminoma, NOS	(C62._)	NA	NA	NA	NA	NA	NA
9062/3	Preferred	Seminoma, anaplastic	(C62._)	NA	NA	NA	NA	NA	NA
9062/3	Synonym	Seminoma with high mitotic index	(C62._)	NA	NA	NA	NA	NA	NA
9063/3	Preferred	Spermatocytic seminoma	(C62._)	NA	NA	NA	NA	NA	NA
9063/3	Synonym	Spermatocytoma	(C62._)	NA	NA	NA	NA	NA	NA
9063/3	Synonym	Spermatocytic tumor	(C62._)	NA	NA	NA	NA	NA	NA
9064/2	Preferred	Intratubular malignant germ cells	(C62._)	NA	NA	NA	NA	NA	NA
9064/2	Synonym	Intratubular germ cell neoplasia	(C62._)	NA	NA	NA	NA	NA	NA
9064/2	Synonym	Germ cell neoplasia in situ	(C62._)	NA	NA	NA	NA	NA	NA
9064/3	Preferred	Germinoma	NA	NA	NA	NA	NA	NA	NA
9064/3	Synonym	Germ cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9065/3	Preferred	Germ cell tumor, nonseminomatous	(C62._)	NA	NA	NA	NA	NA	NA
9070/3	Preferred	Embryonal carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
9070/3	Synonym	Embryonal adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
9071/3	Preferred	Yolk sac tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9071/3	Synonym	Embryonal carcinoma, infantile	NA	NA	NA	NA	NA	NA	NA
9071/3	Synonym	Yolk sac tumor, pre-pubertal type	NA	NA	NA	NA	NA	NA	NA
9071/3	Synonym	Endodermal sinus tumor	NA	NA	NA	NA	NA	NA	NA
9071/3	Synonym	Orchioblastoma	(C62._)	NA	NA	NA	NA	NA	NA
9071/3	Synonym	Polyvesicular vitelline tumor	NA	NA	NA	NA	NA	NA	NA
9071/3	Related	Hepatoid yolk sac tumor	NA	NA	NA	NA	NA	NA	NA
9071/3	Related	Yolk sac tumor, post-pubertal type	NA	NA	NA	NA	NA	NA	NA
9072/3	Preferred	Polyembryoma	NA	NA	NA	NA	NA	NA	NA
9072/3	Synonym	Embryonal carcinoma, polyembryonal type	NA	NA	NA	NA	NA	NA	NA
9073/1	Preferred	Gonadoblastoma	NA	NA	NA	NA	NA	NA	NA
9073/1	Synonym	Gonocytoma	NA	NA	NA	NA	NA	NA	NA
9080/0	Preferred	Teratoma, benign	NA	NA	NA	NA	NA	NA	NA
9080/0	Synonym	Adult teratoma, NOS	NA	NA	NA	NA	NA	NA	NA
9080/0	Synonym	Cystic teratoma, NOS	NA	NA	NA	NA	NA	NA	NA
9080/0	Synonym	Adult cystic teratoma	NA	NA	NA	NA	NA	NA	NA
9080/0	Synonym	Mature teratoma, NOS	NA	NA	NA	NA	NA	NA	NA
9080/0	Synonym	Teratoma, differentiated	NA	NA	NA	NA	NA	NA	NA
9080/1	Preferred	Teratoma, NOS	NA	NA	NA	NA	NA	NA	NA
9080/1	Synonym	Solid teratoma	NA	NA	NA	NA	NA	NA	NA
9080/1	Related	Germ cell tumor, regressed	NA	NA	NA	NA	NA	NA	NA
9080/1	Related	Immature teratoma of lung	(C34._)	NA	NA	NA	NA	NA	NA
9080/1	Related	Immature teratoma of thymus	(C37.9)	NA	NA	NA	NA	NA	NA
9080/1	Related	Immature teratoma of thyroid	(C73.9)	NA	NA	NA	NA	NA	NA
9080/3	Preferred	Teratoma, malignant, NOS	NA	NA	NA	NA	NA	NA	NA
9080/3	Synonym	Embryonal teratoma	NA	NA	NA	NA	NA	NA	NA
9080/3	Synonym	Teratoblastoma, malignant	NA	NA	NA	NA	NA	NA	NA
9080/3	Related	Immature teratoma, malignant	NA	NA	NA	NA	NA	NA	NA
9080/3	Synonym	Immature teratoma, NOS	NA	NA	NA	NA	NA	(except of lung, thymus or thyroid M-9080/1)	NA
9081/3	Preferred	Teratocarcinoma	NA	NA	NA	NA	NA	NA	NA
9081/3	Synonym	Mixed embryonal carcinoma and teratoma	NA	NA	NA	NA	NA	NA	NA
9081/3	Related	Teratocarcinosarcoma	NA	NA	NA	NA	NA	NA	NA
9082/3	Preferred	Malignant teratoma, undifferentiated	NA	NA	NA	NA	NA	NA	NA
9082/3	Synonym	Malignant teratoma, anaplastic	NA	NA	NA	NA	NA	NA	NA
9083/3	Preferred	Malignant teratoma, intermediate	NA	NA	NA	NA	NA	NA	NA
9084/0	Preferred	Dermoid cyst, NOS	NA	NA	NA	NA	NA	NA	NA
9084/0	Synonym	Dermoid, NOS	NA	NA	NA	NA	NA	NA	NA
9084/0	Related	Teratoma, prepubertal type	(C62._)	NA	NA	NA	NA	NA	NA
9084/0	Synonym	Teratoma, mature, prepubertal type	(C62._)	NA	NA	NA	NA	NA	NA
9084/3	Preferred	Teratoma with malignant transformation	NA	NA	NA	NA	NA	NA	NA
9084/3	Synonym	Teratoma with somatic type malignancies	NA	NA	NA	NA	NA	NA	NA
9084/3	Synonym	Dermoid cyst with malignant transformation	(C56.9)	NA	NA	NA	NA	NA	NA
9084/3	Synonym	Dermoid cyst with secondary tumor	NA	NA	NA	NA	NA	NA	NA
9085/3	Preferred	Mixed germ cell tumor	NA	NA	NA	NA	NA	NA	NA
9085/3	Related	Mixed teratoma and seminoma	NA	NA	NA	NA	NA	NA	NA
9086/3	Preferred	Germ cell tumor with associated hematological malignancy	NA	NA	NA	NA	NA	NA	NA
9090/0	Preferred	Struma ovarii, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
9090/3	Preferred	Struma ovarii, malignant	(C56.9)	NA	NA	NA	NA	NA	NA
9091/1	Preferred	Strumal carcinoid	(C56.9)	NA	NA	NA	NA	NA	NA
9091/1	Synonym	Struma ovarii and carcinoid	(C56.9)	NA	NA	NA	NA	NA	NA
910	2	Trophoblastic neoplasms	NA	NA	NA	NA	NA	NA	NA
9100/0	Preferred	Hydatidiform mole, NOS	(C58.9)	NA	NA	NA	NA	NA	NA
9100/0	Synonym	Complete hydatidiform mole	(C58.9)	NA	NA	NA	NA	NA	NA
9100/0	Synonym	Hydatid mole	(C58.9)	NA	NA	NA	NA	NA	NA
9100/1	Preferred	Invasive hydatidiform mole	(C58.9)	NA	NA	NA	NA	NA	NA
9100/1	Synonym	Invasive mole, NOS	(C58.9)	NA	NA	NA	NA	NA	NA
9100/1	Synonym	Chorioadenoma, NOS	(C58.9)	NA	NA	NA	NA	NA	NA
9100/1	Synonym	Chorioadenoma destruens	(C58.9)	NA	NA	NA	NA	NA	NA
9100/1	Synonym	Malignant hydatidiform mole	(C58.9)	NA	NA	NA	NA	NA	NA
9100/3	Preferred	Choriocarcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
9100/3	Synonym	Chorioepithelioma	NA	NA	NA	NA	NA	NA	NA
9100/3	Synonym	Chorionepithelioma	NA	NA	NA	NA	NA	NA	NA
9101/3	Preferred	Choriocarcinoma combined with other germ cell elements	NA	NA	NA	NA	NA	NA	NA
